sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
1,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21957234194636,30.68721367351436,2021,0.13274336,0.12820514,0.19837509,0.5185044,0.7553636,0.8277772999999999,0.900191,0.85086375,0.8645723,0.88503647,0.52104145,0.39089054,0.19881305,0.31827515
2,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.20016873180937,30.607533107812955,2021,0.45717916,0.23441616,0.17827757,0.28854716,0.4578097,0.57094824,0.84934306,0.8507543,0.8685104,0.88899,0.72138226,0.45731303,0.19970304,0.1769991
3,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.31560224581874,30.68874080949736,2021,0.65099555,0.24073158,0.11991199,0.2299578,0.49447852,0.70298889,0.91149926,0.8789974,0.9017964,0.9075303,0.7047081,0.3172691,0.20294882,0.13621262
4,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.29592914109652,30.54779514141901,2021,0.67339534,0.2739965,0.24590164,0.32787555,0.51718986,0.66886683,0.8205438,0.856732,0.87679017,0.8883199,0.8030224,0.43589744,0.22677062,0.18423712
5,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.31102083786972,30.68541704294612,2021,0.4771701,0.23689246,0.115593486,0.2505929,0.6683697,0.7952573000000001,0.9221449,0.8848019,0.91119003,0.9082528,0.52798384,0.3264463,0.1991183,0.10375276
6,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3235972518474,30.746053324624185,2021,0.23839886,0.17569982,0.13366337,0.36342594,0.7110368,0.8235308800000001,0.93602496,0.879175,0.9056146,0.87233084,0.5336856,0.34440434,0.18558699,0.10985117
7,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.29745627707952,30.74776012366401,2021,0.27181545,0.1459192,0.1928975,0.25668836,0.455217,0.593462165,0.73170733,0.6777018,0.67302734,0.7561515,0.66200215,0.52845526,0.2208186,0.5778252
8,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3611468307236,30.696825647054435,2021,0.2824232,0.2112676,0.296957,0.37372014,0.6669213,0.78081495,0.8947086,0.8657228,0.8927289,0.8954281,0.52871287,0.34843802,0.17702703,0.11541441
9,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21130784133246,30.513120171451995,2021,0.6664913,0.18730159,0.24199888,0.38334584,0.67785233,0.791794565,0.9057368,0.8921458,0.88659996,0.8768387,0.67989916,0.22301228,0.18553248,0.12981904
10,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.19720429137178,30.627835033234057,2021,0.77912253,0.3061564,0.19441675,0.20524018,0.30135134,0.57179384,0.84223634,0.83196044,0.815656,0.84750736,0.6806723,0.3501455,0.27927086,0.53217345
