region,season_year,total_samples,wheat_count,nonwheat_count,flagged_wheat_atypical,flagged_wheat_atypical_pct,flagged_nonwheat_wheatlike,flagged_nonwheat_wheatlike_pct,wheat_needing_nonzero_shift_pct
Gujarat,2024,9944,530,9414,6,1.132,95,1.009,49.811
Haryana,2021,9959,4678,5281,47,1.005,53,1.004,41.62
Haryana,2022,9986,4738,5248,48,1.013,53,1.01,50.823
Haryana,2023,9943,5023,4920,51,1.015,50,1.016,49.95
Haryana,2024,9960,5133,4827,52,1.013,49,1.015,35.009
Madhya_Pradesh,2021,9987,2374,7613,24,1.011,77,1.011,61.036
Madhya_Pradesh,2022,9998,2339,7659,24,1.026,77,1.005,63.275
Madhya_Pradesh,2023,9998,2317,7681,24,1.036,77,1.002,74.881
Madhya_Pradesh,2024,9648,2269,7379,23,1.014,74,1.003,65.359
Punjab,2021,9985,6669,3316,67,1.005,34,1.025,27.395
Punjab,2022,9986,6725,3261,68,1.011,33,1.012,39.093
Punjab,2023,9996,7094,2902,71,1.001,30,1.034,42.176
Punjab,2024,8156,5712,2444,58,1.015,25,1.023,32.528
Uttar_Pradesh,2023,9812,3722,6090,38,1.021,61,1.002,44.68
Uttar_Pradesh,2024,9418,3714,5704,38,1.023,58,1.017,31.529
