region,year,step,ndvi_mean,ndvi_std,n_samples
Gujarat,2024,1,0.586245786981132,0.21061560547370847,530
Gujarat,2024,2,0.4565466482830189,0.1887361231551763,530
Gujarat,2024,3,0.3532680263396226,0.14749035966409355,530
Gujarat,2024,4,0.35195109558490567,0.14741471465611639,530
Gujarat,2024,5,0.40820055371698116,0.1804024660907842,530
Gujarat,2024,6,0.6144970744528302,0.19388569360380398,530
Gujarat,2024,7,0.7772204895849057,0.1391988682609357,530
Gujarat,2024,8,0.8053368461886793,0.09420827232203152,530
Gujarat,2024,9,0.7633797446509435,0.10665727692386198,530
Gujarat,2024,10,0.646351420226415,0.16405016560196176,530
Gujarat,2024,11,0.41037044930188676,0.18941952435482695,530
Gujarat,2024,12,0.3276543286415094,0.17786386110644256,530
Gujarat,2024,13,0.305084773764151,0.1906457474160044,530
Gujarat,2024,14,0.28829082943962264,0.19713425838827486,530
