region,year,step,ndvi_mean,ndvi_std,n_samples
Haryana,2022,1,0.5421291771232588,0.22735517306170144,4738
Haryana,2022,2,0.2848097538804278,0.16007470305295063,4738
Haryana,2022,3,0.29812193090530464,0.14690397115911064,4738
Haryana,2022,4,0.47798794201667366,0.21088122170233856,4738
Haryana,2022,5,0.5911771251793303,0.18825107940054436,4738
Haryana,2022,6,0.6879968809663711,0.1458953087270268,4738
Haryana,2022,7,0.7961044076630787,0.10999710230758127,4738
Haryana,2022,8,0.8708318810173068,0.06271616632149062,4738
Haryana,2022,9,0.8819659072590404,0.05650887085851732,4738
Haryana,2022,10,0.8620375968545096,0.06712625253374505,4738
Haryana,2022,11,0.6060985362093709,0.18613904878307622,4738
Haryana,2022,12,0.3487323041376108,0.14152768476417238,4738
Haryana,2022,13,0.19479991980730266,0.07709898459277835,4738
Haryana,2022,14,0.17154964413676657,0.07109107126533701,4738
