region,year,step,ndvi_mean,ndvi_std,n_samples
Punjab,2021,1,0.49143155673894146,0.17302329184182322,6669
Punjab,2021,2,0.2566759766583196,0.13386042109146995,6669
Punjab,2021,3,0.23271451770920176,0.11730930717436137,6669
Punjab,2021,4,0.3742200161861599,0.15830711710963916,6669
Punjab,2021,5,0.5454606091221622,0.1588714486832741,6669
Punjab,2021,6,0.644959698725726,0.14563237526161613,6669
Punjab,2021,7,0.795694840756048,0.12067478039873458,6669
Punjab,2021,8,0.8411383016649673,0.07145353407016422,6669
Punjab,2021,9,0.864044663105538,0.06442131553017917,6669
Punjab,2021,10,0.8600053112651822,0.06052636470129283,6669
Punjab,2021,11,0.7548210334547907,0.09821766982354325,6669
Punjab,2021,12,0.43604519173039435,0.13403317755405506,6669
Punjab,2021,13,0.21215895672844504,0.07370920879517141,6669
Punjab,2021,14,0.17634645409281752,0.07441685719265355,6669
